package,fixed_in,fixed_on,functions,scripts_exposed,text
survival,2.37-3,,cch;coxph,33,"Fix a long-standing problem with cch pointed out by Ornulf Borgan leading to incorrect standard errors. A check in the underlying coxph routines to deal with out of bounds exponents, added in version 2.36-6, interacted badly with the -100 offset used in cch. It only affected models using (start, stop) survival times."
survival,3.4-2,,cox.zph;coxph,33,"Fix bug in cox.zph: if there was any NA coefficient in the coxph fit, the residuals used for the plot would also be NA."
quantreg,4.47,,predict.rqss;qss;rqss,31,"3. Fixed a bug in predict.rqss having to do with name wrangling: when qss terms had a variable name specified for lambda, this got carried along for the ride and caused problems with name matching for newdata. Fix entailed adapting the mcgv interpret.gam to do something similar for rqss. Thanks to Ivan Mizera for pointing out the original problem."
car,2.0-11,2011-08-10,linearHypothesis,30,"fixed bug in printed representation of hypotheses with numbers starting with ""-1"" or ""+1"" (e.g., ""-10"") by linearHypothesis() (reported by Vincent Arel-Bundock)."
car,2.0-12,2012-01-17,linearHypothesis;some,30,fixed bug in linearHypothesis() that affected printing of some hypotheses (reported by Arne Henningsen).
car,2.0-16,2013-02-18,linearHypothesis,30,"Fixed bug in printing of hypotheses by linearHypothesis(), where numeric constants of the form 1.* or -1.* were printed incorrectly (reported by Johannes Kutsam)."
car,3.0-1,2018-08-22,Anova;linearHypothesis,30,Fixed bug in linearHypothesis() for lmer() models using pbkrtest (following report by Francois Piraux). This bug indirectly affected Anova().
plm,0-2.2,,plm;plmtest,30,a bug in the plm method of plmtest has been fixed.
plm,1.6-5,2016-12-02,pFtest;plm,30,pFtest: disable input model check due to reverse dependency of package AER (and to allow arbitrary model comparisons); check was erroneously enabled in plm version 1.6-4. ***
MASS,unknown,,glm.nb;theta.ml,29,glm.nb() called theta.ml() incorrect when weights were supplied whch did not sum to n.
fixest,0.10.4,2022-03-31,fixef,28,"fix major bug related to the extraction of fixed-effects (function `fixef`) when there are 3+ fixed-effects. This bug led to, in some specific circumstances, wrong values for the fixed-effects coefficients. Thanks a lot to @pachadotdev (#286) for finding this out! ## Other bug fixes"
mgcv,1.9-0,2023-07-11,multinom,28,'multinom' variance fix for K>=3 cases. A counter was initialized in the wrong place. Thanks to Max Goplerud for finding and reporting this.
plm,1.5-1,,pdata.frame,27,"fixed ""already a pdata.frame"" bug in pcdtest.formula."
survival,3.6-1,,cluster;survfit,27,"Updates to the Aalen-Johansen, i.e., survfit when 'status' is a factor variable. 1. If case weights varied between rows in the same cluster, the infinitesimal jackknife could be wrong and hence the variance incorrect. 2. n.censor is now reported per state 3. new elements of n.transtions and count."
AER,1.1-9,2011-12-10,ivreg,26,The `summary()` for `ivreg` displayed the degrees of freedom of the overall Wald test incorrectly (although the p-value was computed correctly).
AER,1.2-6,2018-12-28,ivreg,26,The `model.matrix()` method for `ivreg` objects erroneously dropped the dimension of single-column projected regressor matrices. This propagated to the `estfun()` method and hence lead to problems with sandwich covariances (reported by Justus Winkelmann).
sandwich,2.3-1,2014-07-20,estfun,20,The `estfun()` methods for `survreg` and `coxph` objects incorrectly returned the unweighted estimating functions in case the objects were fitted with weights. Now the weights are properly extracted and used.
fixest,0.1.1,2019-09-20,feglm,19,feglm: bug when a) the deviance at initialization was higher than the deviance of the first iteration of the IRWLS and b) the step-halving was unable to find a lower deviance. This led the estimation to fail with an error although it should have been performed properly.
fixest,0.3.0,2020-02-01,feglm,19,[estimations] bug when using weights in `feglm`.
fixest,0.9.0,2021-06-19,feglm,19,Fix rare bug when the number of parameters is greater than the number of observations and the GLM family has a dispersion parameter. ## Breaking changes: new default family for feglm
survival,2.34,2007-10-15,survfit,17,"27Sep05: Found and fixed a nasty bug in survfit. When method='fh2' and there were multiple groups I had a subscripting bug, leading to vectors that were supposed to be the same length, but weren't, passed into C. The resulting curves were obviously wrong -- survival precipitously drops to zero."
survival,2.35,,survfit,17,"21 July 2010: Fix a problem pointed out by a user: calling survfit with almost tied times, e.g., c(2, sqrt(2)^2), could lead to an inconsistent result. Some parts of the code saw these as 2 unique values per the unique() function, some as a single value using the results of table(). We now pre-round the input times to one less decimal digit than the max from .Machine$double.digits. Also added the noweb.R processing function from the coxme package, so that the noweb code can be extracted ""on the fly"" during installation using commands in the configure and cleanup scripts."
survival,2.36-1,2010-11-03,survfit,17,12 Oct 2010: Fix a bug in the modified lower limits for survfit (Dory & Korn). A logical vector was being inadvertently converted to numeric. Pointed out by Andy Mugglin. A new case was added to the test suite.
survival,2.36-6,,survfit,17,"Re-fix a bug in survfit. It uses both unique and table in various places, which do not round the same; I had added a pre-rounding step to the code. A data set from Fan Chun showed that I didn't round quite enough. But the prior rounding did work for a time of 2 vs (sqrt(2))^2: this bug is very hard to produce. I now use as.numeric(as.character(factor(x))), which induces exactly the same rounding as table, since it is the same compuation path."
survival,2.37-5,,survfit,17,"Per a request from Milan Bouchet-Valet fix an issue in survfit that arose when the OutDec option is set to ',': it did not correctly convert times back from character to numeric."
survival,2.39-5,2016-06-26,survfit,17,"Error in subscripting survival curves: if fit was a survfit curve from left-truncated data, fit[k] had an incorrect n.enter component. (An old error, which shows how rarely that component is used.) Pointed out by Beth Atkinson."
survival,2.40-2,,finegray;strata,17,Fix an error in the finegray routine: with strata() the resulting data sets could have incorrect status values. Pointed out by Mark Donoghoe. Added a strata test to tests/finegray.R.
survival,2.42-4,2018-06-30,survSplit;survfit,17,"Improve multi-state survfit when the input data has extra censored rows, e.g., a subject with transitions to state 1 at time 2 and state 2 at time 8 but data of (0,2,1), (2,5,0), (5,8,2); the survSplit routine often generates such rows. Formerly the transitions table in the output would be incorrect for this case, and the life table would get an extra ""censoring"" line at time 5. The estimated P(state) and its se was correct."
survival,3.0,,survfit,17,"Subscripting survfit object removes the na.action. This is a loss in the sense that the printout no longer tells us that observations were removed, but the information about which and how many rows were removed was incorrect after the selection."
survival,3.2-15,,survfit,17,"Fix an inconsistency with the start.time argument. One of the survfit paths would include an event at start.time (curve starts with an immediate drop) others did not. All paths now do so. This makes start.time=0 behave the same as ordinary survfit, without the argument, when there is a death at time 0."
survival,3.2-8,,survfit,17,"In a survfit() call with the start.time option, if one curve had no subjects past the start time the dim of the result was wrong, leading to multiple downstream failures."
survival,3.4-1,,pseudo;survfit,17,"Add a check to pseudo. The algorithm was not designed for a survfit curve from interval censored data, but still produced a result (assuredly an incorrect one). Interval censored curves now have type='interval' to help support this."
survival,3.5-4,,survfit,17,"Small bug in survfit: if start.time was present, the 'type' element could be missing from the output object."
car,3.0-3,2019-05-27,deltaMethod,15,"Fixed a bug in deltaMethod() when a variable in the model is named ""g"" (reported by Chris Andrews.)"
survival,2.34,2007-10-15,strata,15,"18Apr05: Bug in survfit.turnbull. The strata variable was not being filled in (number of points per curve). So if multiple curves were generated at once, i.e., with something on the right hand side of ~ in the formula, all the downstream print/plot functions would not work with the result."
survival,2.35,,strata,15,"17 Aug 2009: Small bug in survfit.coxph.null pointed out by Frank Harrell. The 'n' component would be missing if the input data included strata, i.e., the initial model had used x=TRUE. He also pointed out the fix."
survival,2.35,,strata,15,"1 May 2009: The anova.coxph function was incorrect for models with a strata term. Fixed this, and made chisquare tests the default."
survival,2.36-11,,strata,15,"Fix an error in predict.coxph. When the model had a strata and the newdata and reference=""sample"" arguments were used, it would (incorrectly) ask for a strata variable in the new data set."
survival,2.36-12,2012-02-06,clogit;strata,15,"Fix a bug in the new fast subsets code. The test suite had no examples of strata + lots of tied times, so of course that's the case where I had an indexing error. Add a test case using the clogit function, which exercises this."
survival,2.36-13,2012-04-24,strata,15,"Fix a bug in summary.survfit for a multiple-strata survival object. If one of the curves had no data after application of the times argument, an output label was the wrong length."
survival,2.36-6,,strata,15,"31 March 2011: One of the plots in the r_sas test was wrong (it's been a long time since I visually checked these). The error was in predict.survreg; it had not taken into account a change in R2.7.1: the intercept attribute is reset to 1 whenever one subscripts a terms object, leading to incorrect results for a model with ""-1"" in the formula and a strata(): the intercept returned when removing the strata. I used this opportunity to move most of the logic into model.frame.survreg and model.matrix.survreg functions. Small change to the model.frame.coxph and model.matrix.coxph functions due to a better understanding of xlevels processing."
survival,2.42-0,,strata;survSplit,15,"Fix a bug in the agfit4.c routine, based on data sets from Ivo Sousa Ferreira and Marloes Derks. This was introduced in 2.39-1 and leads to incorrect solutions for selected data sets. Such data sets are a rare edge case, however. In detail: In a start stop data set with strata assume two adjacent event times in one stratum of d1 and d2, say, and a set of k censored intervals (a,b) also in that stratum such that a>=d1 and b<d2. (Such intervals are never at risk for an event and could be elminated from the data set without loss.) If k >= the number of intervals that overlap both d1 and d2, and in the prior stratum the smallest time was an event, some variables that track who is in the risk set got out of sync, and contributions to the loglik, first and second derivative at d1 would be incorrect. I expect such data sets are extremely rare. However, the survSplit routine and mstate packages can generate data sets with a LOT of the unneeded intervals. (The data set in question came from mstate.)"
survival,3.2-9,2021-03-14,strata,15,"Error in survit.coxph for a multistate fit with strata, an array dimension was wrong (but contents correct). It led to downstream problems with print and plot. Pointed out by Matthew Hall."
fixest,0.14.1,2026-05-04,femlm;fenegbin;fepois,14,fix bug in the error reporting for `femlm`/`fenegbin`/`fepois`. Thanks to @RobinDenz1 for reporting (fixes #646). ## New features
mgcv,1.0-7,2004-05-18,gam,13,bug in gam corrected: now gives correct null deviance when an offset is present. (thanks: Louise Burt)
mgcv,1.1-2,2004-09-15,gam;interpret.gam,13,"Some model formulae constructed in interpret.gam and used in facilitating safe prediction for parametric terms had the wrong environment - this could cause gam to fail to find data when e.g. lm, would find it. (thanks Thomas Maiwald)"
mgcv,1.1-5,2004-09-30,gam;gamm;plot.gam,13,plot.gam could fail with residuals=TRUE due to incorrect counting in the code allowing use of termplot. plot.gam failed to prompt before a newpage if there was only one smooth. gam and gamm .Rd files updated slightly.
mgcv,1.8-1,2014-07-06,gam,13,"fix of 1.8-0 bug - gam prior weights mishandled in computation of cov matrix, resulting in incorrect variance estimates (even without prior weights specified). Thanks Fabian Scheipl."
mgcv,1.8-25,2018-10-26,gam,13,"fix of efsudr bug whereby extended families with no extra parameters to estimate could give incorrect results when using optimer=""efs"" in 'gam'."
lme4,2.0-6,2026-07-16,glmer;merPredD,12,"fixed a heap-use-after-free bug in merPredD construction. This caused intermittent (GC-timing-dependent) Downdated VtV is not positive definite errors and other spurious failures in glmer() fits, most visible under memory pressure (e.g. during R CMD check) or under AddressSanitizer."
lme4,2.0-6,2026-07-16,glmer,12,"fixed bug where glmer with structured covariance models would return incorrect fixed effect coefficients (zero values, or wrong number of values) (GH #962)."
lmtest,0.9-35,2017-02-11,bptest,12,Fixed bug in bptest() for degrees-of-freedom calculation when some regressors are aliased/collinear. Reported by Amrei Luise Stammann.
nlme,3.1-118,2014-09-30,nlme,12,R/nlme.R: nlme with self-starting model incorrectly required 'start'.
AER,1.2-6,2018-12-28,tobit,11,In a bug fix the `survival` package changed the internal structure of `survreg()$y` starting from `survival` 2.42-7. This leads to incorrect `summary()` output for `tobit` objects which has been worked around now. Thanks to Terry Therneau for pointing out the problem and suggesting a fix.
estimatr,0.20.0,2019-09-09,iv_robust,11,Fixed bug when estimating `diagnostics` in `iv_robust()` without explicitly specifying `se_type` (issue #310)
survival,2.35,,frailty;survreg,10,"14 Dec 2009: 1.Fix bug in frailty.xxx, if there is a missing value in the levels it gets counted by ""length(unique(x))"" (frailty is called before NA removal.) 2.SurvfitCI had an incorrect CI with case weights, and 3. in survreg a call to resid instead of residuals.survreg, before the class was attached."
fixest,0.1.1,2019-09-20,fepois,9,update: bug when updating the function fepois ## Error handling
fixest,0.10.0,2021-09-28,coefplot,8,"Fix bug in `coefplot` when `lean = TRUE` in the estimation (reported by @adamaltmejd, #195)."
fixest,0.11.2,2023-11-24,coefplot,8,"fix bug in coefplot: now the confidence intervals use the Student t when appropriate (before that, only the Normal law was used). Thanks to Grant McDermott, [#409](https://github.com/lrberge/fixest/pull/408)"
fixest,0.6.0,2020-07-13,coefplot;collinearity,8,Bug in `coefplot` when some interacted variables were removed because of collinearity. Now corrected. ## New vignettes
fixest,0.8.1,2021-01-13,coefplot;models,8,Fix bug in `coefplot` preventing the proper scaling of the x-axis for interactions when multiple models are displayed.
lme4,1.1-0,,ranef,8,"in a previous development version, ranef returned incorrect conditional variances (github issue #148). this is now fixed"
quantreg,4.50,,crq,8,"2. Fixed bug in powell.f -- failure to declare ddot double precision which (curiously) caused example(crq) to produce something insane in 64bit R, even though in 32bit R it was ok."
fixest,0.12.0,2024-04-17,demean,7,"fix bug in the function `demean` when a formula is passed as argument and the data was in the form of a `data.table`. Reported by Patrick Baylis, with help from Kyle Butts, #433"
fixest,0.13.0,,fitstat;setFixest_etable,7,fix bug in `etable` preventing the user to modify the `fitstat` argument if it was previously set with `setFixest_etable`
fixest,0.8.1,2021-01-13,fitstat;setFixest_etable,7,Bug in `etable` when the default value of `fitstat` was set with `setFixest_etable`.
lme4,1.0-4,2013-09-21,getME,7,"getME(.,""ST"") was returning a list containing the Cholesky factorizations that get repeated in Lambda. But this was inconsistent with what ST represents in lme4.0. This inconsistency has now been fixed and getME(.,""ST"") is now consistent with the definition of the ST matrix in lme4.0. See https://github.com/lme4/lme4/issues/111 for more detail. Thanks to Vince Dorie."
lme4,1.1-10,2015-10-06,getME,7,"fixed reordering bug in names of getME(.,""Ztlist"") (terms are reordered in decreasing order of the number of levels of the grouping variable, but names were not being reordered)"
lme4,2.0-6,2026-07-16,lmList,7,"lmList would fail when some groups have rank-deficient model matrices; in particular, it used to report the incorrect degrees of freedom (GH #377)"
mgcv,1.7-24,2013-06-05,bam;te;ti,7,Fix for bug in fast REML code that could cause bam to fail with ti/te only models. Thanks to Martijn Wieling.
mgcv,1.8-30,2019-10-24,bam;predict.gam,7,"Fix to bug in bam(...,discrete=TRUE) offset handling introduced in 1.8-29, which corrupted offset (and generated numerous warnings). Also fixes a less obvious bug introduced at the same time in predict.gam which could get the offset wrong when predicting with such models. Thanks to Brian Montgomery and Sean Wilson."
survival,2.38-1,2015-02-24,frailty;survConcordance.fit,7,"Fix an error discovered by CRAN, which triggered a core dump for them on a particular manual page (but never for me). The linear predictors from a frailty model contained NA values (incorrect), leading to failure in survConcordance.fit. (2015/2/16)."
survival,3.1-2,,cox.zph,7,"The cox.zph command now refuses models with tt() terms, before it had an incorrect computation."
survival,3.2-12,2021-08-13,cox.zph,7,The df column from cox.zph could be incorrect for a coxme model.
MASS,unknown,,fitdistr,6,"the log-likelihood returned for fitdistr(, ""geometric"") was incorrect."
fixest,0.8.0,2020-12-14,feNmlm;femlm,6,Fix bug in femlm/feNmlm when factor variables are removed due to the removal of some observations.
estimatr,0.12.0,,difference_in_means,5,Fixed bug with `difference_in_means` when using `condition1` and `condition2` to subset a treatment vector with more than two treatment conditions. Previous estimates and standard errors were incorrect.
estimatr,0.6.0,2018-03-28,difference_in_means,5,Fixed incorrect estimates when both weights and blocks were passed to `difference_in_means`
fixest,0.10.2,2022-02-17,fitstat,5,"fix bug in `fitstat` for the KPR statistic (reported by @etiennebacher, #161)."
lme4,2.0-6,2026-07-16,getData,5,"getData() now gives more informative error messages when the original data cannot be retrieved: if the object is not found, the message names the object and suggests re-loading it; if an object of the wrong type is found (e.g. the name data resolving to utils::data), the message reports the type and location of what was found and notes the likely masking (GH #808)"
plm,1.2-6,2010-11-22,mtest;pgmm,5,"a bug in mtest for pgmm models with effect=""individual"" and transformation=""ld"" *and* for the wald test for time.dummies for model with effect=""twoways"" and transformation=""ld"" is fixed by modifying namest in pgmm."
plm,1.2-6,2010-11-22,pgmm,5,there was a bug in pgmm for models with different lags for GMM instruments. The number of time series lost is now the min (and not the max) of the first lags for GMM instruments.
plm,1.2-6,2010-11-22,plmtest,5,p-values for the two-tailed versions of plmtest() were wrong and have been fixed. They were divided by 2 instead of multiplied. ***
fixest,0.11.0,2022-10-19,feNmlm,4,fix bug in the `predict` method when applied to objects estimated with `feNmlm`. Thanks again to @vincentarelbundock for reporting (#292)!
fixest,0.11.1,2023-01-10,bin,4,fix bug in the help of `bin` ## C++ code
mgcv,1.7-18,2012-06-12,Sl.initial.repara;bam,4,"bam(...,method=""fREML"") could give incorrect edfs for ""re"" terms as a result of a matrix indexing error in Sl.initial.repara. Now fixed. Thanks to Martijn Wieling for reporting this."
mgcv,1.7-6,2011-04-14,bam,4,bam bug fix. aic was reported incorrectly (too low).
mgcv,1.8-10,2015-12-12,bam,4,"with bam(...,discrete=TRUE) terms like s(a,b,bs=""re"") had wrong p-value computation applied, as a result of being treated as tensor product terms. Fixed."
mgcv,1.8-12,2016-03-03,bam,4,"bam null deviance computation was wrong with prior weights (including binomial other than binary case), and returned deviance was wrong for non-binary binomial. Fixed (did not affect estimation)."
mgcv,1.8-13,2016-07-21,bam;smoothCon;t2,4,"modification to 'smoothCon' to allow resetting of smooth supplied constraints - enables fix of bug in bam handling of 't2' terms, where parameterization of penalty and model matrix did not previously match properly."
mgcv,1.8-20,2017-09-09,bam,4,"Fix to bad bug in bam(...,discrete=TRUE) offset handling, and predict.bamd modified to avoid failure predicting with offset. Thanks to Paul Shearer."
mgcv,1.8-23,2018-01-15,bam,4,bam was reporting wrong family under some smoothing parameter selection methods (not default).
mgcv,1.8-23,2018-01-15,bam,4,bam extended family extension had introduced a bug in null deviance computation for Gaussian additive case when using methods other than fREML or GCV.Cp. Fixed.
mgcv,1.8-25,2018-10-26,bam,4,fix of null deviance computation bug introduced with extended families in bam - null deviance was wrong for non-default methods.
mgcv,1.8-29,2019-09-20,bam,4,"bam deviance could be wrongly returned, leading to 100% explained deviance. Fixed."
mgcv,1.8-29,2019-09-20,bam,4,"bam(...,discrete=TRUE) indexing bug in setup meant that models containing smooths with matrix arguments and other smooths with factor by variable would fail at the setup stage."
mgcv,1.8-41,2022-10-21,bam,4,"slight change in bgam.fitd to check scale parameter estimate converged when using bam(...,discrete=TRUE), otherwise scale could be wrong for all fixed smoothing parameters."
mgcv,1.9-1,2023-12-21,bam;gfam,4,"Revised gfam to work correctly with bam(...,discrete=FALSE). Subsetting in bgam.fit was incorrect for gfam. Thanks to Dave Miller for reporting it."
plm,1.2-8,2011-12-24,vcovBK,4,a bug in vcovBK (matrices degenerating into vectors) is fixed (thx to David Hugh-Jones for bug report).
MASS,unknown,,truehist,3,truehist() checks more thoroughly for erroneous inputs.
mgcv,0.6-0,,predict.gam,3,A bug in the standard error calculations for parametric terms in predict.gam() is fixed.
mgcv,1.8-13,2016-07-21,vis.gam,3,Fix of bug in zlim handling in vis.gam perspective plot with standard errors. Thanks Petra Kuhnert.
survival,2.36-10,2011-10-01,survreg,3,"The log-likelihood for survreg was incorrect when there are case weights in the model. The error is a fixed constant for any given data set, so had no impact on tests or inferences. The error and correction were pointed out by Robert Kusher."
survival,2.36-10,2011-10-01,survpenal.fit;survreg,3,"A variable name was incorrect in survpenal.fit. This was in a program path that had never been traversed until Carina Salt used survreg with a psline(..., method='aic') call, leading to a ""variable not found"" message."
survival,2.38-1,2015-02-24,pspline,3,"Martingale residuals could be incorrect for the case of model with (start, stop] data and a pspline term. Refactor the code so that all of the possible code paths call the same C routine to do the residuals. Add a new test for this case, and further tests to verify that predict(type='expected') and residuals agree."
survival,3.2-12,2021-08-13,survreg,3,"Fix scale factor error in cholesky3.c, which could cause it to incorrectly mark a column as singular. Found via a survreg example from Nathan Adams, where y had large values."
car,3.0-1,2018-08-22,Boot,2,Fix a bug in 'Boot()' so lm and glm models work with transformed predictors like log(x) or I(x-34).
fixest,0.10.0,2021-09-28,iplot,2,Fix bug in `iplot` when IVs contained interactions.
fixest,0.10.0,2021-09-28,iplot,2,"Fix bug in `iplot` preventing some variables to be removed (reported by @roussanoff, #164)."
fixest,0.12.0,2024-04-17,collinearity,2,"fix bug in the `collinearity` function. Reported by @grlju, #412"
fixest,0.12.0,2024-04-17,collinearity,2,"fix bug in IV estimation when all exogenous variables were removed because of collinearity with the fixed-effects. Thanks to @Oravishayrizi, #371"
fixest,0.9.0,2021-06-19,collinearity,2,Fix bug in IV estimations when an endogenous regressor was removed because of collinearity.
fixest,0.9.0,2021-06-19,collinearity,2,"Fix bug in the Wald test in IV estimations when variables are removed because of collinearity (thanks to @pei-huang, #117)."
mgcv,1.3-12,2005-12-13,Predict.matrix.tensor.smooth;te,2,prediction from te smooths could fail because of a bug in handling the list of re-parameterization matrices for 1-D terms in Predict.matrix.tensor.smooth. Fixed. (tensor product docs also updated)
mgcv,1.7-19,2012-07-20,gamm;te,2,Fix of vicious little bug in gamm tensor product handling that could have a te term pick up the wrong model matrix and fail.
nlme,3.1-42,2003-06-10,groupedData,2,R/groupedData.R: Fixed bug in groupedData constructor when outer is not missing.
survival,2.37-1,,clogit,2,"The fast subsets routine coxexact.fit incorrectly returned the linear predictor vector in the (internal) sorted order rather than data set order. Pointed out by Tatsuki Koyama, affecting the result of a clogit call. 6Nov2012"
survival,2.43-2,,finegray,2,"Fix serious error in the finegray function when called with (start, stop) data, e.g., with time-dependent covariates: the censoring distribution G was incorrect which leads to incorrect weights, including NA. Pointed out by Deqiang Zheng along with an example. (The use of time-dependent covariates in a FG model has serious -- I think fatal -- statistical issues, however. The FG approach adds extra 'imputed' follow-up to each subject; but what is the future value of a time-dependent covariate over this new interval?)"
survival,3.5-4,,finegray,2,Update the help file for the finegray command. It was incorrect with respect to time-dependent covariates.
car,2.0-13,2012-08-28,logit,1,Fixed bug in logit() when percents=TRUE and largest percent is 1 (reported by Eric Goodwin).
car,3.1-4,,logit,1,Fix bug in logit() (reported and fixed by Iain Proctor)
fixest,0.14.2,2026-06-26,xpd,1,"fix bug in `xpd`: variable completion with `..` suffix now works when after an underscore (e.g. `xpd(~var_.., data = data.frame(var_1=1, var_2=2))`)"
fixest,0.6.0,2020-07-13,r2,1,"`r2`: bug when the estimation contained only fixed effects (thanks to Luis Fonseca, #27)."
lmtest,0.9-27,2010-07-26,grangertest,1,Modified grangertest() default method to workaround a bug in as.zoo().
